mse:0.027075743302702904, mae:0.10478991270065308
mse:0.789557695388794, mae:0.532466471195221
mse:0.5768431425094604, mae:0.35572540760040283
mse:22.299264907836914, mae:0.7194792032241821
mse:0.910345733165741, mae:0.5099135637283325
mse:4.954509258270264, mae:0.533203125
mse:0.01357420813292265, mae:0.07135149836540222
mse:27.185882568359375, mae:1.7482175827026367
mse:2.0686466693878174, mae:0.2895592749118805
mse:1.1369231939315796, mae:0.21553756296634674
mse:0.2421429604291916, mae:0.33773723244667053
mse:0.00018658008775673807, mae:0.012624325230717659
mse:0.641147255897522, mae:0.37323638796806335
mse:0.36545655131340027, mae:0.3645060658454895
mse:0.5054050087928772, mae:0.4628896117210388
mse:0.08573827147483826, mae:0.09795445948839188
mse:0.9694827795028687, mae:0.2988365590572357
mse:0.17690740525722504, mae:0.14175772666931152
mse:4.837933540344238, mae:0.4072171151638031
mse:0.7727622985839844, mae:0.2945043444633484
mse:0.08168379217386246, mae:0.19299179315567017
mse:0.3225070536136627, mae:0.3591860234737396
mse:0.07198745012283325, mae:0.1556158810853958
mse:0.3096734285354614, mae:0.3564038872718811
mse:0.03642047941684723, mae:0.11897412687540054
mse:0.28714480996131897, mae:0.34329676628112793
mse:0.07987961173057556, mae:0.17526137828826904
mse:0.03937971219420433, mae:0.09885116666555405
mse:0.035728570073843, mae:0.10988086462020874
mse:0.3265558183193207, mae:0.3836887776851654
mse:0.0537017323076725, mae:0.14640089869499207
mse:0.3650389313697815, mae:0.33620989322662354
mse:0.7400386333465576, mae:0.21573175489902496
mse:0.6213668584823608, mae:0.1991678774356842
mse:0.4994656443595886, mae:0.1774720996618271
mse:0.47613951563835144, mae:0.3763681650161743
mse:0.6374955177307129, mae:0.6293275356292725
mse:0.6401581764221191, mae:0.20351433753967285
mse:181.7032928466797, mae:1.223725438117981
mse:0.13993066549301147, mae:0.22314958274364471
mse:1.1274240016937256, mae:0.1773412525653839
mse:2.4162237644195557, mae:0.5005889534950256
mse:0.04028429463505745, mae:0.11347045004367828
mse:1.7374707460403442, mae:0.12403267621994019
mse:204.540283203125, mae:1.3987054824829102
mse:0.05474132299423218, mae:0.1523987501859665
mse:0.9027482867240906, mae:0.2827114164829254
mse:0.0015332027105614543, mae:0.03118264116346836
mse:2.1757895946502686, mae:0.5111270546913147
mse:1000.4288940429688, mae:2.8707878589630127
mse:1.5026299953460693, mae:0.4523393511772156
mse:0.03495514392852783, mae:0.0729013979434967
mse:0.051973581314086914, mae:0.1355467587709427
mse:0.03417941555380821, mae:0.07384040951728821
mse:28.451120376586914, mae:2.976271390914917
mse:0.8000411987304688, mae:0.15228614211082458
mse:0.2623336613178253, mae:0.29835787415504456
mse:0.020907098427414894, mae:0.04637036472558975
mse:1.8585435152053833, mae:0.4424911439418793
mse:2.6811015605926514, mae:1.2359567880630493
mse:0.09192867577075958, mae:0.14694739878177643
mse:0.01586320251226425, mae:0.058304257690906525
mse:0.004871873185038567, mae:0.03957455977797508
mse:0.5635574460029602, mae:0.5312507748603821
mse:0.004992173984646797, mae:0.040468763560056686
mse:0.46310240030288696, mae:0.3026149272918701
mse:0.99790358543396, mae:0.4425804913043976
mse:0.7616166472434998, mae:0.3718847632408142
mse:1.7548999267091858e-06, mae:0.0011297216406092048
mse:0.005262424238026142, mae:0.04140098765492439
mse:5.5259715736610815e-05, mae:0.006947438232600689
mse:2.306944452357129e-06, mae:0.0012922981986775994
mse:0.35935232043266296, mae:0.2847251296043396
